,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Ligayan,0,PH,1552788721,97,4.65,119.47,82.31,14.76
376,Adrar,0,DZ,1552784400,22,27.87,-0.29,59.0,12.75
377,Kudahuvadhoo,68,MV,1552788723,100,2.67,72.89,79.61,7.16
378,Kearney,1,US,1552788362,80,40.7,-99.08,41.0,6.93
379,Ucluelet,90,CA,1552788363,71,48.94,-125.55,53.01,2.01
380,Belmonte,0,PT,1552788076,89,40.36,-7.35,45.0,5.01
381,Vardo,75,US,1552788784,38,39.62,-77.74,41.0,8.05
382,Muisne,8,EC,1552788797,97,0.61,-80.02,71.28,3.02
383,Tricase,40,IT,1552788757,93,39.93,18.36,55.0,5.82
384,Dickinson,1,US,1552788424,79,46.88,-102.79,28.4,6.93
385,Antofagasta,0,CL,1552784400,77,-23.65,-70.4,64.4,6.93
386,Paka,0,HR,1552786200,86,45.29,18.06,37.4,5.82
387,Biak,24,ID,1552788804,73,-0.91,122.88,87.53,2.68
388,Pisco,0,PE,1552784400,78,-13.71,-76.2,71.6,18.34
389,Puerto Madryn,44,AR,1552788604,94,-42.77,-65.04,63.86,16.89
390,Qasigiannguit,8,GL,1552783800,59,68.82,-51.19,-0.41,8.05
391,Deputatskiy,56,RU,1552788809,77,69.3,139.9,-5.18,3.58
392,Yarensk,80,RU,1552788811,86,62.17,49.09,22.19,5.59
393,Slave Lake,1,CA,1552784400,41,55.28,-114.77,39.2,2.35
394,Mananjary,8,MG,1552788813,90,-19.16,46.8,55.76,2.91
395,Ayan,32,TR,1552788814,89,40.67,33.6,31.77,8.28
396,Namatanai,56,PG,1552788816,100,-3.66,152.44,82.62,9.62
397,Laguna,75,MX,1552783200,37,27.52,-110.01,71.6,8.05
398,Paramonga,36,PE,1552788818,100,-10.68,-77.82,71.73,9.84
399,Plymouth,36,GB,1552788633,91,50.37,-4.14,44.01,8.01
400,Tiznit,0,MA,1552788821,67,29.7,-9.73,59.63,1.57
401,Praya,40,ID,1552788000,78,-8.71,116.27,82.4,3.36
402,Port Hardy,75,CA,1552784400,66,50.7,-127.42,51.8,18.34
403,Beian,20,NO,1552788780,100,63.66,9.57,32.0,19.46
404,Sawtell,75,AU,1552788004,73,-30.38,153.1,80.01,5.82
405,Gravdal,92,NO,1552788724,80,59.79,5.78,41.0,27.51
406,Murray,1,US,1552788803,56,40.67,-111.89,48.2,1.79
407,Nemuro,75,JP,1552784400,64,43.32,145.57,35.6,3.36
408,Xingyi,0,CN,1552788831,51,24.19,102.82,68.36,8.05
409,Onguday,0,RU,1552788833,53,50.75,86.14,31.05,4.25
410,Catalao,44,BR,1552788834,90,-18.17,-47.95,70.47,1.9
411,Merauke,92,ID,1552788835,100,-8.49,140.4,74.84,11.18
412,Portland,90,US,1552788723,44,45.52,-122.67,61.0,11.41
413,Alvorada,0,BR,1552788795,88,-30.0,-51.08,75.2,11.41
414,Waingapu,76,ID,1552788840,88,-9.65,120.26,81.14,6.15
415,Kalevala,92,FI,1552788841,87,64.12,29.58,31.32,8.05
416,Port Hedland,20,AU,1552786200,63,-20.31,118.58,91.4,11.41
417,Margate,20,AU,1552788796,56,-43.03,147.26,73.99,10.29
418,Oytal,20,KZ,1552788845,46,42.91,73.27,49.86,7.16
419,Qingdao,0,CN,1552784400,40,36.09,120.35,53.6,2.24
420,Aguimes,0,ES,1552788770,72,27.91,-15.45,64.4,23.04
421,San Rafael,64,AR,1552788673,92,-34.61,-68.33,55.04,2.91
422,Tikamgarh,48,IN,1552788851,83,24.74,78.83,62.51,4.59
423,George,20,NG,1552788852,90,6.63,3.35,81.86,8.72
424,Progreso,75,UY,1552788266,88,-34.68,-56.22,72.0,13.87
425,Kaberamaido,0,UG,1552788856,76,1.76,33.16,66.69,8.95
426,Wamba,92,CD,1552788857,97,2.14,27.99,67.28,2.35
427,Tezu,44,IN,1552788859,77,27.93,96.16,58.95,1.45
428,Namtsy,0,RU,1552786200,83,62.72,129.66,-9.41,4.47
429,Goderich,0,CA,1552788807,84,43.74,-81.71,28.99,11.01
430,Mount Pleasant,1,US,1552788807,32,33.16,-94.97,53.6,4.14
431,Abhar,76,IR,1552788865,74,36.14,49.22,27.59,3.13
432,Yerbogachen,32,RU,1552788866,70,61.28,108.01,24.21,7.38
433,Tshikapa,92,CD,1552788867,100,-6.42,20.79,69.84,2.13
434,Busayra,92,JO,1552788869,96,30.74,35.61,46.44,3.91
435,Agudos,0,BR,1552788643,100,-22.47,-48.99,75.2,10.29
436,Karla,90,EE,1552788831,93,59.37,24.93,36.0,8.05
437,Udachnyy,68,RU,1552788872,55,66.42,112.4,5.63,4.7
438,Ternate,20,PH,1552788831,61,14.29,120.72,88.0,6.93
439,Serik,0,TR,1552787400,50,36.92,31.1,54.0,13.87
440,Terrace Bay,36,CA,1552788732,69,48.78,-87.1,18.45,7.16
441,Obo,88,CF,1552788877,55,5.39,26.49,67.05,5.37
442,Vigrestad,75,NO,1552788099,80,58.57,5.7,39.99,23.04
443,Chernyshevskiy,80,RU,1552788880,73,63.01,112.47,16.65,8.61
444,Southampton,12,GB,1552788785,87,50.9,-1.4,44.01,13.87
445,Coahuayana,20,MX,1552788883,60,18.62,-100.35,66.69,2.01
446,Chernushka,48,RU,1552788884,77,56.5,56.08,17.55,6.38
447,Nagod,76,IN,1552788885,43,24.57,80.59,68.99,4.47
448,Cap Malheureux,75,MU,1552788848,94,-19.98,57.61,77.0,4.7
449,Balikpapan,20,ID,1552786200,66,-1.24,116.86,86.0,5.82
450,Turlock,1,US,1552788824,42,37.49,-120.85,71.6,5.82
451,Inuvik,75,CA,1552784400,53,68.36,-133.71,24.8,8.05
452,Segezha,88,RU,1552788892,85,63.74,34.31,27.27,8.5
453,Pussi,88,EE,1552788893,96,59.36,27.05,33.3,4.47
454,Alyangula,75,AU,1552784400,74,-13.85,136.42,87.8,5.82
455,Kondagaon,0,IN,1552788896,62,19.59,81.66,75.38,4.59
456,Bowen,75,AU,1552788860,70,-20.01,148.25,89.01,6.93
457,Rasht,0,IR,1552784400,81,37.28,49.58,51.8,1.9
458,Blacksburg,1,US,1552788700,30,37.23,-80.41,44.6,4.7
459,Isla Mujeres,20,MX,1552788784,78,21.23,-86.73,78.8,5.82
460,Northport,1,US,1552788591,42,33.23,-87.58,48.2,4.7
461,Belaya Gora,24,RU,1552788904,82,68.54,146.19,-8.82,4.36
462,Aden,92,YE,1552788790,98,12.79,45.03,78.39,12.75
463,Saint-Joseph,0,FR,1552788481,87,43.56,6.97,57.2,1.34
464,Kawalu,56,ID,1552788908,79,-7.38,108.21,77.22,2.46
465,Vanimo,48,PG,1552788909,100,-2.67,141.3,81.81,10.07
466,Ust-Donetskiy,44,RU,1552788910,91,47.64,40.87,29.25,4.14
467,Mandalgovi,0,MN,1552788912,63,45.76,106.27,40.95,10.18
468,Neyvo-Shaytanskiy,36,RU,1552788913,65,57.73,61.25,8.37,2.35
469,Agadir,0,MA,1552786200,82,30.42,-9.58,57.2,5.82
470,Verkhnyaya Tishanka,32,RU,1552788915,97,51.32,40.54,31.73,6.71
471,El Dorado,32,VE,1552788917,68,6.71,-61.64,77.85,4.36
472,Bubaque,0,GW,1552788918,90,11.28,-15.83,78.98,14.88
473,Clyde River,75,CA,1552786380,74,70.47,-68.59,-23.81,9.17
474,Yingcheng,92,CN,1552784400,82,30.93,113.57,57.2,4.47
475,Merke,12,KZ,1552788922,69,42.87,73.19,30.96,2.91
476,Puerto Escondido,20,MX,1552783260,69,15.86,-97.07,82.4,13.98
477,Isilkul,80,RU,1552788924,87,54.9,71.26,23.22,8.95
478,Husavik,56,CA,1552788610,89,50.56,-96.99,25.0,4.0
479,Coquimbo,90,CL,1552784400,82,-29.95,-71.34,59.0,4.7
480,Araouane,0,ML,1552788929,26,18.9,-3.53,59.85,3.58
481,Barcelos,75,PT,1552788918,81,41.53,-8.62,53.6,2.35
482,Ngunguru,8,NZ,1552788486,77,-35.62,174.5,72.0,7.0
483,Wajir,0,KE,1552788937,61,1.75,40.07,78.93,12.08
484,Tateyama,75,JP,1552788657,52,36.66,137.31,45.0,8.05
485,La Asuncion,36,EC,1552788940,95,-1.64,-78.74,45.63,1.34
486,Panara,88,LT,1552788941,94,54.11,24.11,36.27,6.15
487,Hovd,20,NO,1552788873,100,63.83,10.7,33.01,19.46
488,Ajdabiya,0,LY,1552788943,84,30.75,20.22,41.36,2.68
489,Elko,1,US,1552788089,29,40.83,-115.76,51.8,9.17
490,Zhuhai,0,CN,1552784400,38,40.71,112.04,39.2,4.47
491,Kyren,12,RU,1552788947,58,51.68,102.13,32.36,2.57
492,Westport,88,IE,1552788784,87,53.8,-9.52,37.99,1.01
493,The Valley,20,AI,1552788907,73,18.22,-63.06,77.0,10.29
494,Praxedis Guerrero,75,MX,1552788132,81,31.37,-106.02,46.0,9.17
495,Zavetnoye,92,RU,1552788953,96,47.12,43.89,40.05,8.39
496,Santa Isabel do Rio Negro,32,BR,1552788954,95,-0.41,-65.02,76.59,2.8
497,Teshie,44,GH,1552788955,100,5.58,-0.11,82.35,11.41
498,Hun,36,BE,1552788954,65,50.34,4.87,50.0,24.16
499,Chake Chake,88,TZ,1552788957,98,-5.25,39.77,80.96,5.7
500,Anadyr,90,RU,1552788790,76,64.73,177.51,-5.01,11.18
501,Tsabong,80,BW,1552788960,35,-26.02,22.4,74.84,8.16
502,Kristianstad,92,SE,1552788919,93,56.03,14.16,44.6,10.29
503,Ilhabela,56,BR,1552788963,100,-23.78,-45.36,77.36,11.41
504,Chulman,92,RU,1552788964,60,56.84,124.9,28.58,3.58
505,Solnechnyy,20,RU,1552788965,73,50.72,136.64,35.06,3.58
506,Hopkinsville,1,US,1552788928,35,36.87,-87.49,44.01,4.7
507,Mount Isa,0,AU,1552786200,22,-20.73,139.49,91.4,6.93
508,Krasnyy Chikoy,0,RU,1552788969,39,50.36,108.75,47.84,3.13
509,Panguiranan,88,PH,1552788970,84,12.07,123.32,81.99,15.88
510,Monterey,1,US,1552788744,52,36.6,-121.89,66.2,8.05
511,Gondanglegi,44,ID,1552788973,80,-7.75,112.01,81.41,4.59
512,Bilma,0,NE,1552788974,19,18.69,12.92,57.96,8.61
513,Narrabri,75,AU,1552784400,77,-30.33,149.78,68.0,6.93
514,Zapolyarnyy,68,RU,1552785600,85,69.43,30.82,12.2,13.87
515,Lakes Entrance,36,AU,1552788923,66,-37.88,147.99,79.0,10.0
516,Haines Junction,68,CA,1552788980,82,60.75,-137.51,31.68,4.36
517,Tuatapere,20,NZ,1552788606,73,-46.13,167.69,64.0,3.91
518,San Francisco,1,US,1552788786,62,37.78,-122.42,68.0,9.17
519,Maceio,0,BR,1552788000,88,-9.67,-35.74,75.2,2.24
520,Ixtapa,90,MX,1552788918,83,20.71,-105.21,75.2,5.82
521,Nizhniy Kislyay,76,RU,1552788986,92,50.86,40.17,30.96,7.83
522,Lyantonde,12,UG,1552788988,88,-0.41,31.15,59.58,3.58
523,Kulhudhuffushi,8,MV,1552788989,100,6.62,73.07,83.84,8.95
524,Viedma,64,AR,1552788990,96,-40.81,-62.99,62.91,2.91
525,Marsa Matruh,20,EG,1552784400,81,31.35,27.25,51.8,4.7
526,Gat,0,SN,1552786200,82,14.69,-16.54,68.0,11.41
527,Mae Sai,0,MM,1552787578,94,20.44,99.89,81.0,1.79
528,Mumford,56,GH,1552788995,96,5.26,-0.76,77.63,5.7
529,Palauig,0,PH,1552788997,74,15.44,119.9,83.34,0.78
530,Candido de Abreu,68,BR,1552788999,91,-24.57,-51.33,68.31,4.59
531,Santa Isabel,75,CO,1552784400,83,4.71,-75.1,77.0,3.36
532,Biltine,0,TD,1552789003,18,14.53,20.93,69.57,14.2
533,Nata,20,CY,1552786200,76,34.78,32.57,57.2,4.7
534,Neryungri,88,RU,1552789005,72,56.66,124.71,24.71,4.25
535,Myitkyina,0,MM,1552789007,79,25.38,97.4,69.93,3.02
536,Ishigaki,75,JP,1552784400,64,24.34,124.16,71.6,12.75
537,Eyl,80,SO,1552789010,100,7.98,49.82,76.77,10.18
538,Gavrilov Posad,88,RU,1552789011,93,56.56,40.12,28.31,6.04
539,Buta,8,CD,1552789012,85,2.79,24.73,71.82,2.13
540,Muli,0,IN,1552789013,31,22.62,71.45,70.11,8.61
541,Valley,8,GB,1552788996,75,53.28,-4.56,42.8,25.28
542,Santa Maria del Oro,80,MX,1552789016,40,25.95,-105.37,52.29,2.46
543,Killybegs,56,IE,1552789017,100,54.63,-8.45,40.68,13.2
544,Chunian,8,PK,1552789019,77,30.96,73.98,62.01,2.91
545,Amuntai,32,ID,1552788952,81,-2.42,115.25,82.94,2.91
546,La Macarena,68,CO,1552789021,66,2.18,-73.79,78.98,1.9
547,Bud,8,NO,1552788968,64,62.91,6.91,35.6,25.28
548,Soyo,76,AO,1552789024,94,-6.13,12.37,79.88,3.02
549,Mahroni,48,IN,1552789026,83,24.59,78.73,62.51,4.59
550,Chkalovsk,90,RU,1552786200,92,56.76,43.24,28.4,6.71
551,Yumen,0,CN,1552789028,43,40.29,97.04,46.31,7.38
552,Todos Santos,90,MX,1552789011,72,23.45,-110.23,69.01,8.05
553,Vilyuysk,20,RU,1552789031,52,63.75,121.63,7.43,5.7
